"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K15,K13,K16,K22,K4,K12,K9,K3,K8,K14,K21,K18,K10,K25,K6,K17,K1,K7,K5,K11";"HEADER_MALE_1X1_Inkplate";20;"HEADER_MALE_1X1_Inkplate";;;
2;"D1";"0402LED";1;"RED";;;
3;"PAD3,PAD5,PAD2,PAD1,PAD4";"PAD_2x1.5";5;"PAD_2x1.5";;;
4;"Q2,Q3";"SOT-23-3";2;"NPN";;;
5;"H3,H4,H2,H1";"Standoff_M3";4;"Standoff_M3";;;
6;"C10,C6,C26,C5,C3,C12";"0603C";6;"100n";;;
7;"R2,R12,R1,R13";"0603R";4;"10k";;;
8;"U3";"SOT-23-5";1;"MCP73831T-2ATI/OT";;;
9;"R15,R3,R16,R17,R18,R19,R14,R11";"0603R";8;"100k";;;
10;"R8,R9";"0603R";2;"1k";;;
11;"C4,C9,C7,C2,C13";"0603C";5;"2u2";;;
12;"C22,C23";"1206C";2;"CL31B475KBHNFNE";;;
13;"D5,D4,D6";"SOD−123";3;"MBR0530T1G";;;
14;"R4";"0603R";1;"47R";;;
15;"C11,C1,C8";"1206C";3;"10u";;;
16;"Q1";"SOT-23-3";1;"SSM3J358R,LF";;;
17;"K20";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
18;"R22";"0603R";1;"0603WAF470LT5E";;;
19;"D2";"SOD-323";1;"BAT20J";;;
20;"C19,C15,C18,C24,C14,C20,C21,C17,C16";"0603C";9;"C1608X5R1H105K080AB";;;
21;"L1";"Inductor_SMD_7x6.6";1;"PSPMAA0603-100M-ANF";;;
22;"U4";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
23;"F1";"1206FUSE";1;"1206FUSE_500mA";;;
24;"R5";"0402R";1;"2k2";;;
25;"K19";"TX2400-FPC-5015";1;"TX2400-FPC-5015";;;
26;"R6,R7";"0603R";2;"5k1";;;
27;"U6";"SOT-23-5";1;"TPS3840PL27DBVR";;;
28;"K24";"SFV24R-2STBE1HLF";1;"SFV24R-1STBE1HLF";;;
29;"U1";"ESP32-WROVER";1;"ESP32-WROVER-IE-N4R8";;;
30;"SW1";"YTSA007A0151803B";1;"YTSA007A0151803B";;;
31;"R10";"0603R";1;"2k49";;;
32;"U2";"SOP-16";1;"CH340C";;;
33;"Q7";"SOT-23-3";1;"CJ2310";;;
34;"K2";"easyC-connector";1;"easyC-SMD";;;
35;"R21";"0603R";1;"1M";;;
36;"U5";"GDEH0213Z19";1;"GDEH0213Z19";;;
